T(C)	'TC-1.0(C/s)'
780.0	24.96268938
770.0	24.83578734
760.0	24.7088853
750.0	24.58198326
740.0	24.45508122
730.0	24.32817919
720.0	24.20127715
710.0	24.07437511
700.0	23.94747307
690.0	23.82057104
680.0	23.693669
670.0	23.56676696
660.0	23.43986492
650.0	23.31296289
640.0	23.18606085
630.0	23.05915881
620.0	22.93225677
610.0	22.80535474
600.0	22.6784527
590.0	22.55155066
580.0	22.42464862
570.0	22.29774658
560.0	22.17084455
550.0	22.04394251
540.0	21.91704047
530.0	21.79013843
520.0	21.6632364
510.0	21.53633436
500.0	21.40943232
490.0	21.28253028
480.0	21.15562825
470.0	21.02872621
460.0	20.90182417
450.0	20.77492213
440.0	20.64802009
430.0	20.52111806
420.0	20.39421602
410.0	20.26731398
400.0	20.14041194
390.0	20.01350991
380.0	19.88660787
370.0	19.75970583
360.0	19.63280379
350.0	19.50590176
340.0	19.37899972
330.0	19.25209768
320.0	19.12519564
310.0	18.9982936
300.0	18.87139157
290.0	18.74448953
280.0	18.61758749
270.0	18.49068545
260.0	18.36378342
250.0	18.23688138
240.0	18.10997934
230.0	17.9830773
220.0	17.85617527
210.0	17.72927323
200.0	17.60237119
190.0	17.47546915
180.0	17.34856711
170.0	17.22166508
160.0	17.09476304
150.0	16.967861
140.0	16.84095896
130.0	16.71405693
120.0	16.58715489
110.0	16.46025285
100.0	16.33335081
90.0	16.20644878
80.0	16.07954674
70.0	15.9526447
60.0	15.82574266
50.0	15.69884062
40.0	15.57193859
30.0	15.44503655
25.0	15.38158553
